seed_i,seed_j,center_of_mass_distance_A,pose_chamfer_distance_A,contact_jaccard_similarity,intrinsic_trace_rmsd_A
42,43,8.9404,4.2405,0.7812,16.4472
42,44,4.1985,5.2861,0.5833,8.7252
42,45,5.382,6.3756,0.4651,10.809
42,46,4.7954,4.0681,0.6316,14.87
42,47,4.7105,4.7047,0.5385,14.3189
42,48,5.7177,6.4262,0.4762,4.6763
42,49,7.6122,6.6728,0.5,5.6543
42,50,9.0682,7.5958,0.4545,9.3038
42,51,0.537,4.8948,0.4571,13.4639
43,44,8.968,7.7315,0.6571,15.5394
43,45,13.1249,9.4903,0.5238,14.276
43,46,11.7507,7.6717,0.575,13.2199
43,47,6.1582,6.3461,0.6053,9.8298
43,48,13.5774,10.0119,0.5,16.2909
43,49,14.1963,9.159,0.4865,15.3472
43,50,14.1054,10.3972,0.4848,16.1282
43,51,8.6985,6.908,0.5294,11.8774
44,45,5.0601,4.6281,0.6842,10.3968
44,46,7.9195,4.7594,0.575,15.346
44,47,5.6875,3.3074,0.7429,14.204
44,48,5.127,3.9908,0.7027,10.0514
44,49,5.3285,5.5262,0.4865,10.0062
44,50,6.3678,5.429,0.4848,5.646
44,51,4.5354,4.1021,0.6774,15.2704
45,46,6.0583,4.447,0.4681,13.8259
45,47,7.9164,5.3483,0.5581,13.3646
45,48,1.1721,3.0595,0.6829,9.1092
45,49,4.7358,4.1452,0.4878,8.5014
45,50,7.925,4.8112,0.4474,8.184
45,51,5.9064,4.8274,0.5676,9.1165
46,47,6.06,4.0201,0.5,5.4341
46,48,6.926,4.4312,0.4783,14.9767
46,49,10.3039,6.8529,0.5,14.2925
46,50,12.7989,8.0956,0.3846,15.757
46,51,4.9629,4.2082,0.4615,15.1085
47,48,8.6914,5.0806,0.65,14.5147
47,49,10.6089,7.3204,0.4146,14.013
47,50,12.002,7.9461,0.3684,14.6036
47,51,4.7308,3.5155,0.5278,14.8794
48,49,3.7415,4.2593,0.3953,4.7232
48,50,6.9975,4.4596,0.3846,8.3473
48,51,6.2203,4.7617,0.5405,11.5586
49,50,3.5228,2.6564,0.5862,9.9561
49,51,8.0262,6.6455,0.3611,9.8826
50,51,9.3366,7.1374,0.5926,14.7012
