seed,length_residues,binder_confidence,ca_radius_of_gyration_A,target_contact_residues_10A,A59_min_ca_distance_A,A83_min_ca_distance_A,A91_min_ca_distance_A,backbone_pairs_below_2A,minimum_interchain_backbone_distance_A,target_alignment_rmsd_A,model_reported_seconds
42,90,0.9919,13.897,28,6.971,7.767,7.562,0,5.487,0.0,66.01
43,71,0.9929,15.821,29,6.723,8.047,7.677,0,4.955,0.0198,58.21
44,83,0.9911,13.689,29,7.823,6.932,8.86,0,4.791,0.0228,61.68
45,78,0.9916,13.331,35,7.781,6.35,9.299,0,3.562,0.0283,60.14
46,98,0.9917,13.288,34,9.351,6.834,8.568,0,4.905,0.0229,68.75
47,81,0.9916,13.016,32,7.598,6.417,9.209,0,4.351,0.0235,61.23
48,87,0.991,13.536,34,7.428,5.656,7.85,0,5.05,0.0251,64.12
49,72,0.9909,12.005,26,8.265,6.127,7.93,0,4.707,0.0235,55.64
50,85,0.9911,13.757,20,7.672,5.015,8.945,0,4.199,0.0242,62.03
51,77,0.9909,14.542,23,7.008,5.422,8.217,0,4.044,0.024,57.98
