arm,seed,binder_length,minimum_CA_distance_to_experimental_insulin_A,minimum_CA_distance_to_experimental_alphaCT_A,experimental_insulin_CA_coverage_within_8A,experimental_alphaCT_CA_coverage_within_8A,binder_contact_jaccard_with_experimental_insulin,binder_contact_jaccard_with_experimental_alphaCT,binder_contact_jaccard_with_experimental_combined,pdb_sha256
guided,42,90,1.1154,0.3173,1.0,0.8667,0.3448,0.3929,0.6207,2e68ae2e859b660ea2cf158be121dad6622e34ae87991eed3b286cd64b567b44
guided,43,71,1.0913,0.8669,0.7143,0.8,0.25,0.3793,0.5,888e5a24b4f45b91472e3d6f870887f13444ab59a44f85e27206daaf55109130
guided,44,83,1.0456,1.7318,0.3095,0.8,0.1765,0.3793,0.4118,b66589df34364dfb8adee34c1b28f59a5552918b0999450eeaa2fe6faa514556
guided,45,78,1.4506,0.5595,0.4524,0.7333,0.122,0.3143,0.3171,b87dd104523cecf65419caf6a37b94e489a4caee39e1340b97f00dcab8ed932a
guided,46,98,1.3933,0.7736,0.8571,0.8,0.2857,0.3235,0.5143,cd1cc4719120a8ad946a9b3fd82ec51f24efc3977c14f393929c50a0cfff8a3c
guided,47,81,2.8962,0.5832,0.381,0.7333,0.1316,0.303,0.3421,49f4bc1b9dbb710c5742b4ab5587b38acf997282c4a179368aab0fb05ed31c8f
guided,48,87,1.4909,0.7644,0.5476,1.0,0.0976,0.3235,0.2927,a42e9c27fb8a18f68b5695804804ee4d5d436da1bc5d0a869e02f216ebc6f176
guided,49,72,0.6816,1.1548,0.619,0.7333,0.2333,0.3214,0.4516,e0ec52054d392bb516dce291dee8376d838c9ce3dacebe16af57742dd8048d05
guided,50,85,1.4053,1.6707,0.6429,0.7333,0.24,0.3478,0.4444,d5d6a1b6e53093871f3b8cb767d3f24cccbecd9392e9e0c7f078b3f5c01abd11
guided,51,77,2.2124,1.1236,0.4286,0.8,0.2143,0.36,0.4,b0780ced949f52062b288904b716fef39504db91a2a0ca719f2b924086b7357b
unguided,42,90,1.0989,1.9265,0.9524,0.8,0.4737,0.2727,0.5652,ba17d937b8fdf08ebd46bd3a6185295f5eb1cfb4059ee2a1bf7ff8b5e5bc8092
unguided,43,71,5.8765,8.0399,0.0952,0.0,0.0,0.05,0.0357,fdd5465a9bab03922924b5ad793c1892f66b94d3a3b6e3d778b69674c036f5b8
unguided,44,83,0.9901,1.1979,0.6429,0.7333,0.32,0.2692,0.4643,371b6cba98fe6e1e27686a95ee094bd9b36b6ca6945ba53a2de82be33db7f44a
unguided,45,78,1.4382,11.3504,0.619,0.0,0.3043,0.0714,0.2258,312b69ed8d6b139af57e8b2c124fe1425177a41fc4f56f19607f569b2b6dc2c7
unguided,46,98,2.3239,1.307,0.2857,0.7333,0.0968,0.3077,0.2727,3d968aee6e9a8351090626887abf11f0c80553e0627748eab96e3b9ad58c2aa5
unguided,47,81,4.471,0.7109,0.1905,0.7333,0.1316,0.303,0.3077,346a16d371b96cde6942d2241713b92580e93acc0629c87f01a7b78943c3aa75
unguided,48,87,28.1776,28.0696,0.0,0.0,0.0,0.0,0.0,9925ce3d8a529953e479379b24abdaa3c7e0f469af9207b65d1503b66c6aafb2
unguided,49,72,2.2123,1.2434,0.6429,0.8,0.381,0.381,0.6087,a116dbfcf8ec2cf810b2a90e2a64bda85df002af6dc3b22a25e5ff2e884cac32
unguided,50,85,1.3303,7.711,0.7857,0.0667,0.1724,0.0303,0.1351,86bb6057a1138e169455167c3be195a0c30fc2b93a102fce9fdde055b051d63c
unguided,51,77,3.3819,16.6175,0.119,0.0,0.12,0.0,0.0909,92f8e3e9ce6620b14f92a1e5962ad87ee4a66e16d75e8b18c6663dbebccec7df
