seed,guided_length,unguided_length,guided_min_hotspot_CA_distance_A,unguided_min_hotspot_CA_distance_A,guided_center_to_hotspot_centroid_A,unguided_center_to_hotspot_centroid_A,guided_contact_count_10A,unguided_contact_count_10A,matched_contact_jaccard,matched_pose_chamfer_A,matched_center_displacement_A,matched_intrinsic_trace_rmsd_A,guided_nearest_target_residue,unguided_nearest_target_residue,guided_min_backbone_distance_A,unguided_min_backbone_distance_A,guided_backbone_pairs_below_2A,unguided_backbone_pairs_below_2A,guided_final_confidence,unguided_final_confidence,guided_pdb_sha256,unguided_pdb_sha256,guided_trb_sha256,unguided_trb_sha256
42,90,90,6.9713,7.9753,16.571,12.6809,28,17,0.4062,4.5592,8.2277,6.2749,31,32,5.4871,5.2903,0,0,0.9919,0.9913,2e68ae2e859b660ea2cf158be121dad6622e34ae87991eed3b286cd64b567b44,ba17d937b8fdf08ebd46bd3a6185295f5eb1cfb4059ee2a1bf7ff8b5e5bc8092,08d25994d2662dc62851dc8f7260f8930824fb0467a9cad03a311e37d9f337f7,287ac6d1fe4def76b85f5fc7a1dbf0b913f6d02d0f1ed06a471bf39ac688032f
43,71,71,6.7231,11.2935,20.3665,18.4455,29,10,0.1818,9.9566,6.0652,3.4759,31,136,4.9546,3.5761,0,0,0.9929,0.9938,888e5a24b4f45b91472e3d6f870887f13444ab59a44f85e27206daaf55109130,fdd5465a9bab03922924b5ad793c1892f66b94d3a3b6e3d778b69674c036f5b8,4153441ba4918c144dd71b675a7ea4438a139c712167056957414da87086e25c,9d28f461fcf847a0db9d9b1d6ee92a4e66f05cc9f811fd8a11f9d4b1eea11b12
44,83,83,6.9319,8.1375,13.2811,12.1983,29,22,0.3077,7.913,3.1144,17.7266,84,84,4.7911,5.277,0,0,0.9911,0.9938,b66589df34364dfb8adee34c1b28f59a5552918b0999450eeaa2fe6faa514556,371b6cba98fe6e1e27686a95ee094bd9b36b6ca6945ba53a2de82be33db7f44a,21a6fd4ab9d6f69810f24ee1eb60533f654eb946e4cc30b46db0889e78a9d4f7,11714b4e817e5e2406db2e44589d414f54ae2b1ed9e9e4c55ef9896040658502
45,78,78,6.3495,12.0904,12.252,20.336,35,19,0.08,10.1699,15.4826,9.8138,84,34,3.5618,3.352,0,0,0.9916,0.9901,b87dd104523cecf65419caf6a37b94e489a4caee39e1340b97f00dcab8ed932a,312b69ed8d6b139af57e8b2c124fe1425177a41fc4f56f19607f569b2b6dc2c7,7091408f9d9aa00dbfd2b8639315b6d01b6debcd0c5df637ef0ee998149eeb37,74675c929201a559781519cdd9cb8a5f6c09d71e1e38c04b42c9b6ef4f01a188
46,98,98,6.8342,7.1332,17.4455,11.0488,34,23,0.3571,7.694,6.3885,17.6307,32,84,4.9045,4.6948,0,0,0.9917,0.9927,cd1cc4719120a8ad946a9b3fd82ec51f24efc3977c14f393929c50a0cfff8a3c,3d968aee6e9a8351090626887abf11f0c80553e0627748eab96e3b9ad58c2aa5,0854a387af12c43eb413598291b39694fbb0f7da309680732b72fab6bede7cfa,f903cdefac2f29dbc0ea0ff4ac2b872367cefc2331430b9b211206f5672485d3
47,81,81,6.4174,6.26,16.7391,16.382,32,32,0.4545,8.9609,17.1521,18.1733,139,124,4.3515,2.6928,0,0,0.9916,0.9951,49f4bc1b9dbb710c5742b4ab5587b38acf997282c4a179368aab0fb05ed31c8f,346a16d371b96cde6942d2241713b92580e93acc0629c87f01a7b78943c3aa75,5ccebaf992b14e2e6df5b8bcba12b8fcf001c4d1084a7301c5e1d167c79b72d0,856f5d571d81aa9f3dc01ab0b81a1f37673f2c8b0c1af429f79e0164e0996d8e
48,87,87,5.6563,19.9292,12.1964,28.0589,34,39,0.0,32.0986,38.7196,7.4314,83,102,5.0502,3.9108,0,0,0.991,0.9915,a42e9c27fb8a18f68b5695804804ee4d5d436da1bc5d0a869e02f216ebc6f176,9925ce3d8a529953e479379b24abdaa3c7e0f469af9207b65d1503b66c6aafb2,cf1f6dc81bdb066a61545798793dd30041ef2b04fdde87cd1cfb8d36cd929166,8b588ed002e5c317a6a9fbf1b5588c611c3915ab7b7f0f3cd8af88092fe4b4bf
49,72,72,6.1265,6.8644,11.2704,21.0034,26,18,0.5714,7.162,20.8859,15.6066,84,84,4.707,5.6758,0,0,0.9909,0.9902,e0ec52054d392bb516dce291dee8376d838c9ce3dacebe16af57742dd8048d05,a116dbfcf8ec2cf810b2a90e2a64bda85df002af6dc3b22a25e5ff2e884cac32,920ebde2748d3550f425e4a5da4ab192e8df8f6a3d4b5afc92b13feae26097a1,bd78bd5c9382face0b77a952e514471cda13d5aeb623e8f7fdd2639d8d017a0e
50,85,85,5.0145,11.5127,12.8349,11.9281,20,23,0.1316,19.2471,24.3649,28.9828,84,37,4.199,4.5504,0,0,0.9911,0.9948,d5d6a1b6e53093871f3b8cb767d3f24cccbecd9392e9e0c7f078b3f5c01abd11,86bb6057a1138e169455167c3be195a0c30fc2b93a102fce9fdde055b051d63c,430ef479c87660625eb88aeeeb88ca75097439987815a14a02b645530e2b359a,30c6a7de2e21ac873a3811f1d9b4b749c103c43d5c1e2d0284120c68812e8bf0
51,77,77,5.4223,18.0158,17.0707,28.3783,23,17,0.0,30.8075,41.5236,12.9019,84,13,4.0444,3.8067,0,0,0.9909,0.9933,b0780ced949f52062b288904b716fef39504db91a2a0ca719f2b924086b7357b,92f8e3e9ce6620b14f92a1e5962ad87ee4a66e16d75e8b18c6663dbebccec7df,826dd742db34310b677240be8b5b5545fb50d7df640a6ed598d3f86a24ace4bb,e495f646d4c0e9cf330a62136facc2d1a4d44a2c0ab73f74d2dba18b74572826
