sample_id,system_id,runs_n_poses_cluster,familiarity_score_0_to_100,familiarity_bin,protein_tokens,resolved_protein_distogram_atoms,ligand_tokens,refined_protein_tokens,predicted_token_pocket_residues_at_6a,native_affinity_pocket_mask_protein_residues_at_15a,reference_pocket_residues_6a_any_heavy_atom,reference_interface_pairs_within_15a,reference_token_contacts_within_6a,interface_distogram_nll,interface_expected_distance_mae_angstrom,token_contact_average_precision_at_6a,token_contact_auroc_at_6a,physical_pocket_precision_at_6a,physical_pocket_recall_at_6a,physical_pocket_f1_at_6a,entropy_crop_pl,affinity_pred_value,affinity_pred_value1,affinity_pred_value2,affinity_probability_binary
5sh0__1__1.A__1.G__1.G,5sh0__1__1.A__1.G,c2,28.84849051727448,20-30,343,313,31,225,5,103,27,2077,50,3.008423363701853,1.1843325263920217,0.7032558149511938,0.9962830208225422,1.0,0.18518518518518517,0.3125,0.6028515100479126,-0.09605748951435089,-0.3206309676170349,0.12851598858833313,0.4727364182472229
5shr__1__1.A__1.G__1.G,5shr__1__1.A__1.G,c736,26.402272876322268,20-30,343,312,26,230,10,96,20,1638,59,3.4799698203249587,1.7385984476557776,0.3655459217313069,0.9896238268925992,0.6,0.3,0.4,0.48159879446029663,-0.34707173705101013,-0.8215986490249634,0.12745517492294312,0.689940869808197
6zg9__1__1.A__1.B__1.B,6zg9__1__1.A__1.B,c781,40.05323943373922,40-50,455,446,24,232,4,100,22,1770,75,3.852299857388627,2.1893500950488014,0.34073701959017616,0.98692633361558,1.0,0.18181818181818182,0.3076923076923077,0.7076073288917542,0.5852004289627075,0.5489108562469482,0.6214900016784668,0.6791470050811768
7b3g__1__1.A__1.I__1.I,7b3g__1__1.A__1.I,c11,47.05276752384312,40-50,383,344,18,238,7,109,25,1344,73,2.1533064214578137,0.8082258668600872,0.9272960506879565,0.9990351185505735,1.0,0.28,0.43750000000000006,0.6632227897644043,-1.0065443515777588,-0.9848980903625488,-1.0281904935836792,0.9166457653045654
7fee__1__1.A__1.D__1.D,7fee__1__1.A__1.D,c859,84.964725835957,80-100,559,486,27,229,16,140,28,2168,66,2.246620484621616,0.5800579738899994,0.8250301594757706,0.9989683136512181,0.9375,0.5357142857142857,0.6818181818181818,0.5030707716941833,-2.7887516021728516,-2.8650131225585938,-2.7124898433685303,0.9909851551055908
7fum__1__1.A__1.C__1.C,7fum__1__1.A__1.C,c72,20.02494445529296,20-30,362,345,34,222,4,110,30,2333,122,5.196465797134768,3.384801734439126,0.2219304189577541,0.8986065291319723,0.5,0.06666666666666667,0.11764705882352941,0.6905055642127991,0.11223140358924866,-0.38614535331726074,0.6106081604957581,0.7690612077713013
7fys__1__1.A__1.B__1.B,7fys__1__1.A__1.B,c6,55.42484498223988,50-60,135,134,19,135,4,86,24,1393,47,3.2034681951906734,1.5369947790943552,0.4330237285096799,0.9762287893880957,0.75,0.125,0.21428571428571427,0.6570835709571838,1.0609519481658936,1.375606894493103,0.7462968826293945,0.5866212844848633
7nag__1__1.A__1.C__1.C,7nag__1__1.A__1.C,c158,7.347200565538667,0-20,144,140,46,144,1,69,18,1721,65,2.9090816375406496,1.8160910708460145,0.7821823792448651,0.9940754147812971,1.0,0.05555555555555555,0.10526315789473684,0.6209480166435242,-0.4412412941455841,-0.3595646619796753,-0.5229179263114929,0.5045714974403381
7p1o__1__1.A__1.D__1.D,7p1o__1__1.A__1.D,c284,46.50132980028835,40-50,410,385,18,238,3,119,18,1302,17,2.219374498518603,0.8759393504090888,0.9346551711102796,0.9998127994145727,1.0,0.16666666666666666,0.2857142857142857,0.5417442321777344,2.3117222785949707,2.554896831512451,2.068547487258911,0.8523458242416382
7pox__1__1.A__1.C__1.C,7pox__1__1.A__1.C,c225,83.29088762957285,80-100,219,180,34,219,18,114,25,1843,130,9.301451240851888,3.067494579750386,0.15462542431318393,0.8860639527417491,1.0,0.72,0.8372093023255813,0.2816685140132904,-0.6929019689559937,-0.84946209192276,-0.5363419055938721,0.9396090507507324
