sample_id,system_id,runs_n_poses_cluster,familiarity_score_0_to_100,familiarity_bin,protein_tokens,resolved_protein_distogram_atoms,ligand_tokens,refined_protein_tokens,predicted_token_pocket_residues_at_6a,native_affinity_pocket_mask_protein_residues_at_15a,reference_pocket_residues_6a_any_heavy_atom,reference_interface_pairs_within_15a,reference_token_contacts_within_6a,interface_distogram_nll,interface_expected_distance_mae_angstrom,token_contact_average_precision_at_6a,token_contact_auroc_at_6a,physical_pocket_precision_at_6a,physical_pocket_recall_at_6a,physical_pocket_f1_at_6a,entropy_crop_pl,affinity_pred_value,affinity_pred_value1,affinity_pred_value2,affinity_probability_binary
5sju__1__1.A__1.G__1.G,5sju__1__1.A__1.G,c2,29.233644219107603,20-30,343,318,31,225,7,115,26,2069,80,3.422183895228988,2.027363929038663,0.42791434886031593,0.9930417774596032,1.0,0.2692307692307692,0.42424242424242425,0.5767858028411865,-0.4403288960456848,-0.6195018291473389,-0.2611559331417084,0.20760679244995117
6zg4__1__1.A__1.B__1.B,6zg4__1__1.A__1.B,c883,30.27473421472848,30-40,455,446,26,230,12,123,28,1911,90,2.9819454381164108,1.044709722165344,0.8028534813460115,0.9969600401722772,0.9166666666666666,0.39285714285714285,0.55,0.5275387763977051,0.5264037847518921,0.13872641324996948,0.9140810966491699,0.7835755348205566
7ekr__1__1.A__1.C__1.C,7ekr__1__1.A__1.C,c919,94.29008182717382,80-100,355,307,42,214,21,178,49,3196,135,2.0193942167262064,1.0717191475442642,0.968653066324097,0.9996174087717312,1.0,0.42857142857142855,0.6,0.3612380623817444,-1.5651910305023193,-1.233691692352295,-1.8966902494430542,0.9692862629890442
7es1__1__1.A__1.C__1.C,7es1__1__1.A__1.C,c1002,48.23898793205923,40-50,470,408,34,222,3,110,18,2071,62,4.864234079859003,3.276741119229926,0.07888587889787488,0.9536567704561911,0.6666666666666666,0.1111111111111111,0.1904761904761905,0.7348141074180603,1.455378770828247,1.8333631753921509,1.0773943662643433,0.2510143220424652
7fai__1__1.A__1.E__1.E,7fai__1__1.A__1.E,c241,70.20574022320437,70-80,336,333,33,223,9,112,28,1907,56,4.186246496532417,2.139767034615161,0.28824013799795445,0.986347035841685,1.0,0.32142857142857145,0.4864864864864865,0.4815604090690613,-1.141126036643982,-1.35811448097229,-0.9241376519203186,0.7530894875526428
7fd6__1__1.A__1.B__1.B,7fd6__1__1.A__1.B,c588,48.12178691507226,40-50,548,538,28,228,2,89,26,2026,58,4.491905176948734,3.587300103044808,0.4081439349941812,0.9887642644091789,1.0,0.07692307692307693,0.14285714285714288,0.6856176257133484,0.3647805452346802,0.31754976511001587,0.4120113253593445,0.16502048075199127
7fhb__1__1.A__1.B__1.B,7fhb__1__1.A__1.B,c985,60.04505943670812,60-70,309,306,19,237,4,127,31,1537,36,2.4432878410488343,0.8667123344419909,0.7457038898887745,0.9972549132725664,1.0,0.12903225806451613,0.2285714285714286,0.6269058585166931,0.9109289646148682,1.191786766052246,0.6300711631774902,0.4200083315372467
7ftm__1__1.A__1.C__1.C,7ftm__1__1.A__1.C,c861,0.0,0-20,362,356,17,239,10,111,13,718,74,14.333842903584323,13.054863511699587,0.010394956715307208,0.448256218748022,0.0,0.0,0.0,0.5147010087966919,1.313362956047058,1.325316309928894,1.3014096021652222,0.5132699608802795
7jni__1__1.A__1.C__1.C,7jni__1__1.A__1.C,c365,21.10849072492549,20-30,412,407,38,218,2,131,37,2996,86,5.224514717792073,3.841863314944628,0.07415139557013821,0.9642944627574319,1.0,0.05405405405405406,0.10256410256410257,0.6491786241531372,-0.05788740515708923,-0.5607367753982544,0.4449619650840759,0.8084731101989746
7ko6__1__1.A__1.D__1.D,7ko6__1__1.A__1.D,c581,58.06812655273292,50-60,53,52,31,53,11,34,13,662,61,1.9309016596226798,0.4225311170789187,0.9253273516350352,0.9964063375294627,1.0,0.8461538461538461,0.9166666666666666,0.3439541757106781,-0.6568710803985596,-0.2497834414243698,-1.063958764076233,0.9394001960754395
7lr9__1__1.A__1.C__1.C,7lr9__1__1.A__1.C,c1003,97.02083510449827,80-100,268,264,21,235,11,98,25,1327,76,1.9498135902655347,0.5243943779794495,0.9231569759585094,0.9985561929696223,1.0,0.44,0.6111111111111112,0.42364999651908875,1.1094286441802979,1.3841001987457275,0.8347570300102234,0.8605207204818726
7mof__1__1.A__1.C__1.C,7mof__1__1.A__1.C,c243,25.89592248654912,20-30,171,154,40,171,10,70,16,1472,76,2.768694838370258,0.9530702420033532,0.886322892586326,0.9975496556974289,1.0,0.625,0.7692307692307693,0.5794920325279236,1.4410395622253418,1.1891858577728271,1.6928932666778564,0.4142354428768158
7nah__1__1.A__1.C__1.C,7nah__1__1.A__1.C,c158,8.251175090897645,0-20,144,140,46,144,0,36,19,1797,74,3.2409780700573223,5.328093478367828,0.6470782783239757,0.9912669502678928,0.0,0.0,0.0,0.7151939868927002,0.43832388520240784,0.3955756425857544,0.4810721278190613,0.4881557822227478
7nb7__1__1.A__1.E__1.E,7nb7__1__1.A__1.E,c437,63.0759132677929,60-70,170,151,35,170,15,90,22,1783,105,1.2462172993705964,0.22279971920881905,0.991053475919693,0.9998179812465526,1.0,0.6818181818181818,0.8108108108108109,0.23245418071746826,-1.4475746154785156,-0.8950313329696655,-2.0001180171966553,0.9889123439788818
7oli__1__1.A__1.C__1.C,7oli__1__1.A__1.C,c825,90.21662461115622,80-100,242,242,20,236,9,107,25,1503,75,2.9115788182526203,1.0179609652731527,0.7273899142518865,0.992156698146205,1.0,0.36,0.5294117647058824,0.4496771991252899,1.5240962505340576,1.5227155685424805,1.5254768133163452,0.8188650012016296
7pj9__1__1.A__1.C__1.C,7pj9__1__1.A__1.C,c602,93.2814269535674,80-100,183,164,14,183,10,74,18,778,33,1.338704908866899,0.2647523240025213,0.9460819322172056,0.9990358735387458,1.0,0.5555555555555556,0.7142857142857143,0.28747275471687317,1.5357069969177246,1.6245349645614624,1.4468789100646973,0.6336090564727783
7q90__1__1.A__1.D__1.D,7q90__1__1.A__1.D,c308,56.4679561128366,50-60,300,294,25,231,14,106,21,1495,86,2.95985736264423,0.8889803098923639,0.8089372001586458,0.9963838874090769,0.9285714285714286,0.6190476190476191,0.742857142857143,0.47412431240081787,1.0065680742263794,0.9302535057067871,1.0828826427459717,0.5057939887046814
7qa3__1__1.A__1.C__1.C,7qa3__1__1.A__1.C,c250,64.15259581141365,60-70,332,206,30,226,14,113,33,1844,105,2.361793350994016,0.7354209434262525,0.7835503539771801,0.9948030570252793,1.0,0.42424242424242425,0.5957446808510638,0.44522902369499207,1.0310049057006836,1.2490532398223877,0.8129565119743347,0.564617931842804
