model,cutoff,metric,bin,bin_midpoint,n,median,lower_95,upper_95
nesso1,2021-09-30,interface_expected_distance_mae_angstrom,0-20,10.0,13,8.6326339836746,5.528617199911181,9.378819195459165
nesso1,2021-09-30,interface_expected_distance_mae_angstrom,20-40,30.0,10,2.4155893260748824,1.2036212183145747,4.9228431316963155
nesso1,2021-09-30,interface_expected_distance_mae_angstrom,40-60,50.0,9,1.0927163496451862,0.7228936506548567,1.940876657160443
nesso1,2021-09-30,interface_expected_distance_mae_angstrom,60-80,70.0,10,0.8718002753607106,0.4042020253693423,2.1281444601182864
nesso1,2021-09-30,interface_expected_distance_mae_angstrom,80-100,90.0,8,0.38425430130711435,0.20943621922233077,0.4355043913699186
nesso1,2021-09-30,token_contact_f1_at_6a,0-20,10.0,13,0.0,0.0,0.0
nesso1,2021-09-30,token_contact_f1_at_6a,20-40,30.0,10,0.24814814814814812,0.016216216216216217,0.7258064516129032
nesso1,2021-09-30,token_contact_f1_at_6a,40-60,50.0,9,0.5999999999999999,0.2829268292682927,0.8936170212765957
nesso1,2021-09-30,token_contact_f1_at_6a,60-80,70.0,10,0.7793103448275862,0.2777777777777778,0.8537815126050419
nesso1,2021-09-30,token_contact_f1_at_6a,80-100,90.0,8,0.9070370370370371,0.8842616249361268,0.9174311926605504
nesso1,2021-09-30,physical_pocket_f1_at_6a,0-20,10.0,13,0.0,0.0,0.16216216216216214
nesso1,2021-09-30,physical_pocket_f1_at_6a,20-40,30.0,10,0.2702380952380952,0.14285714285714288,0.564042303172738
nesso1,2021-09-30,physical_pocket_f1_at_6a,40-60,50.0,9,0.625,0.3181818181818182,0.7096774193548387
nesso1,2021-09-30,physical_pocket_f1_at_6a,60-80,70.0,10,0.6425806451612903,0.5333333333333333,0.7499999999999999
nesso1,2021-09-30,physical_pocket_f1_at_6a,80-100,90.0,8,0.7477288609364081,0.6666666666666666,0.8
boltz2,2023-06-01,interface_expected_distance_mae_angstrom,0-20,10.0,9,12.77169527903498,0.8808624528200247,16.371380579703995
boltz2,2023-06-01,interface_expected_distance_mae_angstrom,20-40,30.0,10,1.6743668202626534,0.6570106507515714,6.5074568342091785
boltz2,2023-06-01,interface_expected_distance_mae_angstrom,40-60,50.0,10,1.911160075686408,0.8732255043724528,3.872152078773812
boltz2,2023-06-01,interface_expected_distance_mae_angstrom,60-80,70.0,10,0.5508318331466535,0.3812753262062862,0.7865512602454247
boltz2,2023-06-01,interface_expected_distance_mae_angstrom,80-100,90.0,10,0.33061613244663696,0.20392873319559426,0.43143938790060155
boltz2,2023-06-01,token_contact_f1_at_6a,0-20,10.0,9,0.0,0.0,0.7428571428571428
boltz2,2023-06-01,token_contact_f1_at_6a,20-40,30.0,10,0.5460672804958777,0.11904761904761905,0.801418439716312
boltz2,2023-06-01,token_contact_f1_at_6a,40-60,50.0,10,0.4516313407954275,0.16569517439082657,0.8148148148148148
boltz2,2023-06-01,token_contact_f1_at_6a,60-80,70.0,10,0.8266447368421053,0.7870417456428274,0.8801169590643274
boltz2,2023-06-01,token_contact_f1_at_6a,80-100,90.0,10,0.9220959595959597,0.8509872195623789,0.9452356597686679
boltz2,2023-06-01,physical_pocket_f1_at_6a,0-20,10.0,9,0.15151515151515152,0.0,0.8444444444444444
boltz2,2023-06-01,physical_pocket_f1_at_6a,20-40,30.0,10,0.8632540254746455,0.2413793103448276,0.9090909090909091
boltz2,2023-06-01,physical_pocket_f1_at_6a,40-60,50.0,10,0.8429458740017746,0.8033088235294118,0.9333333333333333
boltz2,2023-06-01,physical_pocket_f1_at_6a,60-80,70.0,10,0.914004914004914,0.888888888888889,0.9701960784313726
boltz2,2023-06-01,physical_pocket_f1_at_6a,80-100,90.0,10,0.9698100407055631,0.9387755102040816,1.0
