sample_id,target,observed_z,predicted_z
cdk2_17,cdk2,1.75668418,1.19120147
cdk2_1h1q,cdk2,0.77849320,0.57263760
cdk2_1h1r,cdk2,1.21217247,0.94926794
cdk2_1h1s,cdk2,-1.82895064,-0.64358448
cdk2_1oi9,cdk2,-0.54920954,-0.61193558
cdk2_1oiu,cdk2,0.00986293,0.80387521
cdk2_1oiy,cdk2,-0.58699508,-0.11655567
cdk2_20,cdk2,0.33353043,0.73458836
cdk2_21,cdk2,1.08904480,1.34770581
cdk2_22,cdk2,1.06033351,1.34373837
cdk2_26,cdk2,0.57740627,0.06573494
cdk2_28,cdk2,-1.69859536,-1.36543002
cdk2_29,cdk2,-0.65406935,-1.46640340
cdk2_30,cdk2,-0.59490565,-1.13834634
cdk2_31,cdk2,-0.36282024,-0.11265982
cdk2_32,cdk2,-0.54198193,-1.55383439
