sample_id,target,observed_z,predicted_z
jnk1_17124-1,jnk1,-0.68356702,-1.50627954
jnk1_18624-1,jnk1,0.72436117,1.39907601
jnk1_18625-1,jnk1,1.18674435,1.24218498
jnk1_18626-1,jnk1,0.27293235,0.85994488
jnk1_18627-1,jnk1,0.73659313,0.39053947
jnk1_18628-1,jnk1,0.47526497,0.78808807
jnk1_18629-1,jnk1,0.50958008,0.10618112
jnk1_18630-1,jnk1,-0.04831508,-0.25653487
jnk1_18631-1,jnk1,-0.37151346,0.44000188
jnk1_18632-1,jnk1,0.02207565,-0.06550161
jnk1_18633-1,jnk1,-0.08634165,-0.67178526
jnk1_18634-1,jnk1,-1.06135051,-0.01909167
jnk1_18635-1,jnk1,2.16175322,0.84349818
jnk1_18636-1,jnk1,1.89238702,1.26079647
jnk1_18637-1,jnk1,-1.23810503,-1.86298000
jnk1_18638-1,jnk1,-1.18026532,-0.47648074
jnk1_18639-1,jnk1,-0.76072049,-2.13095914
jnk1_18652-1,jnk1,-1.88255084,-1.27689712
jnk1_18658-1,jnk1,-0.71151720,-0.14704799
jnk1_18659-1,jnk1,-0.43271032,0.21579703
jnk1_18660-1,jnk1,0.47526497,0.86744982
