sample_id,target,observed_z,predicted_z
p38_p38a_2aa,p38,1.40936846,-0.47822411
p38_p38a_2bb,p38,1.61436791,1.74188259
p38_p38a_2c,p38,0.20875410,1.76979229
p38_p38a_2e,p38,-0.03246975,1.00051082
p38_p38a_2ee,p38,-1.60252730,-1.46565013
p38_p38a_2f,p38,2.19722650,-0.07135032
p38_p38a_2ff,p38,-0.77777752,-0.86292106
p38_p38a_2g,p38,0.00857627,-0.71823846
p38_p38a_2gg,p38,0.00857627,0.02313344
p38_p38a_2h,p38,1.19931917,-0.26267430
p38_p38a_2i,p38,0.62112898,-0.12796483
p38_p38a_2j,p38,0.59210219,-0.18817526
p38_p38a_2k,p38,0.11704505,0.70145847
p38_p38a_2l,p38,-1.60252730,-1.05606973
p38_p38a_2m,p38,-0.29532984,-1.88717827
p38_p38a_2n,p38,-1.19015241,-0.46877058
p38_p38a_2o,p38,0.17972731,-0.56970567
p38_p38a_2p,p38,-0.53655368,-0.14930159
p38_p38a_2q,p38,-1.60252730,-0.59881241
p38_p38a_2r,p38,-0.12417879,0.60122005
p38_p38a_2s,p38,-0.44484463,-0.37953601
p38_p38a_2t,p38,-1.19015241,-0.34535035
p38_p38a_2u,p38,-1.60252730,-2.33086711
p38_p38a_2v,p38,1.70569571,0.42140905
p38_p38a_2x,p38,0.44045884,-0.15601285
p38_p38a_2y,p38,0.89897554,0.35840686
p38_p38a_2z,p38,0.31248237,-0.05095660
p38_p38a_3fln,p38,-0.23264758,-0.34487403
p38_p38a_3flq,p38,0.72485726,1.53404124
p38_p38a_3flw,p38,-0.03246975,1.13330905
p38_p38a_3fly,p38,-0.77777752,-0.20901052
p38_p38a_3flz,p38,1.17189813,-0.23218922
p38_p38a_3fmh,p38,-0.17594458,1.81851392
p38_p38a_3fmk,p38,-1.19015241,1.85015559
