sample_id,target,observed_z,predicted_z
cdk2_17,cdk2,1.75668418,1.19120147
cdk2_1h1q,cdk2,0.77849320,0.57263760
cdk2_1h1r,cdk2,1.21217247,0.94926794
cdk2_1h1s,cdk2,-1.82895064,-0.64358448
cdk2_1oi9,cdk2,-0.54920954,-0.61193558
cdk2_1oiu,cdk2,0.00986293,0.80387521
cdk2_1oiy,cdk2,-0.58699508,-0.11655567
cdk2_20,cdk2,0.33353043,0.73458836
cdk2_21,cdk2,1.08904480,1.34770581
cdk2_22,cdk2,1.06033351,1.34373837
cdk2_26,cdk2,0.57740627,0.06573494
cdk2_28,cdk2,-1.69859536,-1.36543002
cdk2_29,cdk2,-0.65406935,-1.46640340
cdk2_30,cdk2,-0.59490565,-1.13834634
cdk2_31,cdk2,-0.36282024,-0.11265982
cdk2_32,cdk2,-0.54198193,-1.55383439
tyk2_ejm_31,tyk2,0.16078403,-0.65783617
tyk2_ejm_42,tyk2,-0.02978803,-0.66938164
tyk2_ejm_43,tyk2,1.18025780,1.25092819
tyk2_ejm_44,tyk2,1.85101469,2.12380213
tyk2_ejm_45,tyk2,0.15088875,-0.01237965
tyk2_ejm_46,tyk2,-1.24723573,-1.19905137
tyk2_ejm_47,tyk2,0.03844875,0.62373489
tyk2_ejm_48,tyk2,0.59144851,1.37826679
tyk2_ejm_49,tyk2,1.58799048,1.32984481
tyk2_ejm_50,tyk2,0.61063519,-0.30398109
tyk2_ejm_54,tyk2,-0.62599919,-0.98685085
tyk2_ejm_55,tyk2,0.42937053,-0.64920774
tyk2_jmc_23,tyk2,-1.55383414,-1.15482079
tyk2_jmc_27,tyk2,-1.21874164,-0.70481923
tyk2_jmc_28,tyk2,-0.97864923,0.10123474
tyk2_jmc_30,tyk2,-0.94659077,-0.46948300
jnk1_17124-1,jnk1,-0.68356702,-1.50627954
jnk1_18624-1,jnk1,0.72436117,1.39907601
jnk1_18625-1,jnk1,1.18674435,1.24218498
jnk1_18626-1,jnk1,0.27293235,0.85994488
jnk1_18627-1,jnk1,0.73659313,0.39053947
jnk1_18628-1,jnk1,0.47526497,0.78808807
jnk1_18629-1,jnk1,0.50958008,0.10618112
jnk1_18630-1,jnk1,-0.04831508,-0.25653487
jnk1_18631-1,jnk1,-0.37151346,0.44000188
jnk1_18632-1,jnk1,0.02207565,-0.06550161
jnk1_18633-1,jnk1,-0.08634165,-0.67178526
jnk1_18634-1,jnk1,-1.06135051,-0.01909167
jnk1_18635-1,jnk1,2.16175322,0.84349818
jnk1_18636-1,jnk1,1.89238702,1.26079647
jnk1_18637-1,jnk1,-1.23810503,-1.86298000
jnk1_18638-1,jnk1,-1.18026532,-0.47648074
jnk1_18639-1,jnk1,-0.76072049,-2.13095914
jnk1_18652-1,jnk1,-1.88255084,-1.27689712
jnk1_18658-1,jnk1,-0.71151720,-0.14704799
jnk1_18659-1,jnk1,-0.43271032,0.21579703
jnk1_18660-1,jnk1,0.47526497,0.86744982
p38_p38a_2aa,p38,1.40936846,-0.47822411
p38_p38a_2bb,p38,1.61436791,1.74188259
p38_p38a_2c,p38,0.20875410,1.76979229
p38_p38a_2e,p38,-0.03246975,1.00051082
p38_p38a_2ee,p38,-1.60252730,-1.46565013
p38_p38a_2f,p38,2.19722650,-0.07135032
p38_p38a_2ff,p38,-0.77777752,-0.86292106
p38_p38a_2g,p38,0.00857627,-0.71823846
p38_p38a_2gg,p38,0.00857627,0.02313344
p38_p38a_2h,p38,1.19931917,-0.26267430
p38_p38a_2i,p38,0.62112898,-0.12796483
p38_p38a_2j,p38,0.59210219,-0.18817526
p38_p38a_2k,p38,0.11704505,0.70145847
p38_p38a_2l,p38,-1.60252730,-1.05606973
p38_p38a_2m,p38,-0.29532984,-1.88717827
p38_p38a_2n,p38,-1.19015241,-0.46877058
p38_p38a_2o,p38,0.17972731,-0.56970567
p38_p38a_2p,p38,-0.53655368,-0.14930159
p38_p38a_2q,p38,-1.60252730,-0.59881241
p38_p38a_2r,p38,-0.12417879,0.60122005
p38_p38a_2s,p38,-0.44484463,-0.37953601
p38_p38a_2t,p38,-1.19015241,-0.34535035
p38_p38a_2u,p38,-1.60252730,-2.33086711
p38_p38a_2v,p38,1.70569571,0.42140905
p38_p38a_2x,p38,0.44045884,-0.15601285
p38_p38a_2y,p38,0.89897554,0.35840686
p38_p38a_2z,p38,0.31248237,-0.05095660
p38_p38a_3fln,p38,-0.23264758,-0.34487403
p38_p38a_3flq,p38,0.72485726,1.53404124
p38_p38a_3flw,p38,-0.03246975,1.13330905
p38_p38a_3fly,p38,-0.77777752,-0.20901052
p38_p38a_3flz,p38,1.17189813,-0.23218922
p38_p38a_3fmh,p38,-0.17594458,1.81851392
p38_p38a_3fmk,p38,-1.19015241,1.85015559
