sample_id,target,observed_z,predicted_z
tyk2_ejm_31,tyk2,0.16078403,-0.65783617
tyk2_ejm_42,tyk2,-0.02978803,-0.66938164
tyk2_ejm_43,tyk2,1.18025780,1.25092819
tyk2_ejm_44,tyk2,1.85101469,2.12380213
tyk2_ejm_45,tyk2,0.15088875,-0.01237965
tyk2_ejm_46,tyk2,-1.24723573,-1.19905137
tyk2_ejm_47,tyk2,0.03844875,0.62373489
tyk2_ejm_48,tyk2,0.59144851,1.37826679
tyk2_ejm_49,tyk2,1.58799048,1.32984481
tyk2_ejm_50,tyk2,0.61063519,-0.30398109
tyk2_ejm_54,tyk2,-0.62599919,-0.98685085
tyk2_ejm_55,tyk2,0.42937053,-0.64920774
tyk2_jmc_23,tyk2,-1.55383414,-1.15482079
tyk2_jmc_27,tyk2,-1.21874164,-0.70481923
tyk2_jmc_28,tyk2,-0.97864923,0.10123474
tyk2_jmc_30,tyk2,-0.94659077,-0.46948300
