sample_id,target,observed_z,predicted_z
cdk2_17,cdk2,1.75668418,0.23231348
cdk2_1h1q,cdk2,0.77849320,1.71741662
cdk2_1h1r,cdk2,1.21217247,0.33678735
cdk2_1h1s,cdk2,-1.82895064,-0.62841387
cdk2_1oi9,cdk2,-0.54920954,1.12723899
cdk2_1oiu,cdk2,0.00986293,-0.20763298
cdk2_1oiy,cdk2,-0.58699508,-0.40625714
cdk2_20,cdk2,0.33353043,1.02003370
cdk2_21,cdk2,1.08904480,0.98183598
cdk2_22,cdk2,1.06033351,0.54679385
cdk2_26,cdk2,0.57740627,0.80477029
cdk2_28,cdk2,-1.69859536,-1.10787407
cdk2_29,cdk2,-0.65406935,-1.62514600
cdk2_30,cdk2,-0.59490565,-0.43842068
cdk2_31,cdk2,-0.36282024,-0.39307829
cdk2_32,cdk2,-0.54198193,-1.96036724
