sample_id,target,observed_z,predicted_z
jnk1_17124-1,jnk1,-0.68356702,-1.02953107
jnk1_18624-1,jnk1,0.72436117,1.65675012
jnk1_18625-1,jnk1,1.18674435,0.48402675
jnk1_18626-1,jnk1,0.27293235,0.65885693
jnk1_18627-1,jnk1,0.73659313,0.83238234
jnk1_18628-1,jnk1,0.47526497,0.89627775
jnk1_18629-1,jnk1,0.50958008,0.98837372
jnk1_18630-1,jnk1,-0.04831508,1.05589738
jnk1_18631-1,jnk1,-0.37151346,0.84178231
jnk1_18632-1,jnk1,0.02207565,0.73397750
jnk1_18633-1,jnk1,-0.08634165,0.67967753
jnk1_18634-1,jnk1,-1.06135051,-0.13625244
jnk1_18635-1,jnk1,2.16175322,0.16417046
jnk1_18636-1,jnk1,1.89238702,-0.54159554
jnk1_18637-1,jnk1,-1.23810503,-1.40528768
jnk1_18638-1,jnk1,-1.18026532,-1.68562668
jnk1_18639-1,jnk1,-0.76072049,-1.39782814
jnk1_18652-1,jnk1,-1.88255084,-1.90452257
jnk1_18658-1,jnk1,-0.71151720,0.06809920
jnk1_18659-1,jnk1,-0.43271032,-0.36067281
jnk1_18660-1,jnk1,0.47526497,-0.59895505
