sample_id,target,observed_z,predicted_z
p38_p38a_2aa,p38,1.40936846,0.73447773
p38_p38a_2bb,p38,1.61436791,0.47411064
p38_p38a_2c,p38,0.20875410,0.81492874
p38_p38a_2e,p38,-0.03246975,0.89310633
p38_p38a_2ee,p38,-1.60252730,-1.48139439
p38_p38a_2f,p38,2.19722650,0.68849974
p38_p38a_2ff,p38,-0.77777752,-0.54551744
p38_p38a_2g,p38,0.00857627,0.75719741
p38_p38a_2gg,p38,0.00857627,-0.86012918
p38_p38a_2h,p38,1.19931917,0.39610762
p38_p38a_2i,p38,0.62112898,0.81158316
p38_p38a_2j,p38,0.59210219,-0.01700577
p38_p38a_2k,p38,0.11704505,0.92939926
p38_p38a_2l,p38,-1.60252730,0.37645420
p38_p38a_2m,p38,-0.29532984,-0.56100807
p38_p38a_2n,p38,-1.19015241,-0.42417028
p38_p38a_2o,p38,0.17972731,-0.88429670
p38_p38a_2p,p38,-0.53655368,-0.84247933
p38_p38a_2q,p38,-1.60252730,-2.11147835
p38_p38a_2r,p38,-0.12417879,-0.54710677
p38_p38a_2s,p38,-0.44484463,-0.44644480
p38_p38a_2t,p38,-1.19015241,-0.53960022
p38_p38a_2u,p38,-1.60252730,-2.24465887
p38_p38a_2v,p38,1.70569571,2.21114014
p38_p38a_2x,p38,0.44045884,0.49605784
p38_p38a_2y,p38,0.89897554,0.56268975
p38_p38a_2z,p38,0.31248237,0.48515588
p38_p38a_3fln,p38,-0.23264758,0.28778708
p38_p38a_3flq,p38,0.72485726,-0.60288436
p38_p38a_3flw,p38,-0.03246975,0.31304495
p38_p38a_3fly,p38,-0.77777752,0.99508558
p38_p38a_3flz,p38,1.17189813,1.94241511
p38_p38a_3fmh,p38,-0.17594458,-0.65528474
p38_p38a_3fmk,p38,-1.19015241,-1.40578190
