sample_id,target,observed_z,predicted_z
cdk2_17,cdk2,1.75668418,0.23231348
cdk2_1h1q,cdk2,0.77849320,1.71741662
cdk2_1h1r,cdk2,1.21217247,0.33678735
cdk2_1h1s,cdk2,-1.82895064,-0.62841387
cdk2_1oi9,cdk2,-0.54920954,1.12723899
cdk2_1oiu,cdk2,0.00986293,-0.20763298
cdk2_1oiy,cdk2,-0.58699508,-0.40625714
cdk2_20,cdk2,0.33353043,1.02003370
cdk2_21,cdk2,1.08904480,0.98183598
cdk2_22,cdk2,1.06033351,0.54679385
cdk2_26,cdk2,0.57740627,0.80477029
cdk2_28,cdk2,-1.69859536,-1.10787407
cdk2_29,cdk2,-0.65406935,-1.62514600
cdk2_30,cdk2,-0.59490565,-0.43842068
cdk2_31,cdk2,-0.36282024,-0.39307829
cdk2_32,cdk2,-0.54198193,-1.96036724
tyk2_ejm_31,tyk2,0.16078403,1.87806407
tyk2_ejm_42,tyk2,-0.02978803,1.24724469
tyk2_ejm_43,tyk2,1.18025780,0.02762866
tyk2_ejm_44,tyk2,1.85101469,-0.58503600
tyk2_ejm_45,tyk2,0.15088875,-0.57759683
tyk2_ejm_46,tyk2,-1.24723573,0.20185778
tyk2_ejm_47,tyk2,0.03844875,-0.31185071
tyk2_ejm_48,tyk2,0.59144851,-0.75961874
tyk2_ejm_49,tyk2,1.58799048,-1.03184119
tyk2_ejm_50,tyk2,0.61063519,1.62043295
tyk2_ejm_54,tyk2,-0.62599919,0.40440659
tyk2_ejm_55,tyk2,0.42937053,1.46870800
tyk2_jmc_23,tyk2,-1.55383414,-0.60766164
tyk2_jmc_27,tyk2,-1.21874164,-0.75461646
tyk2_jmc_28,tyk2,-0.97864923,-0.87418488
tyk2_jmc_30,tyk2,-0.94659077,-1.34593629
jnk1_17124-1,jnk1,-0.68356702,-1.02953107
jnk1_18624-1,jnk1,0.72436117,1.65675012
jnk1_18625-1,jnk1,1.18674435,0.48402675
jnk1_18626-1,jnk1,0.27293235,0.65885693
jnk1_18627-1,jnk1,0.73659313,0.83238234
jnk1_18628-1,jnk1,0.47526497,0.89627775
jnk1_18629-1,jnk1,0.50958008,0.98837372
jnk1_18630-1,jnk1,-0.04831508,1.05589738
jnk1_18631-1,jnk1,-0.37151346,0.84178231
jnk1_18632-1,jnk1,0.02207565,0.73397750
jnk1_18633-1,jnk1,-0.08634165,0.67967753
jnk1_18634-1,jnk1,-1.06135051,-0.13625244
jnk1_18635-1,jnk1,2.16175322,0.16417046
jnk1_18636-1,jnk1,1.89238702,-0.54159554
jnk1_18637-1,jnk1,-1.23810503,-1.40528768
jnk1_18638-1,jnk1,-1.18026532,-1.68562668
jnk1_18639-1,jnk1,-0.76072049,-1.39782814
jnk1_18652-1,jnk1,-1.88255084,-1.90452257
jnk1_18658-1,jnk1,-0.71151720,0.06809920
jnk1_18659-1,jnk1,-0.43271032,-0.36067281
jnk1_18660-1,jnk1,0.47526497,-0.59895505
p38_p38a_2aa,p38,1.40936846,0.73447773
p38_p38a_2bb,p38,1.61436791,0.47411064
p38_p38a_2c,p38,0.20875410,0.81492874
p38_p38a_2e,p38,-0.03246975,0.89310633
p38_p38a_2ee,p38,-1.60252730,-1.48139439
p38_p38a_2f,p38,2.19722650,0.68849974
p38_p38a_2ff,p38,-0.77777752,-0.54551744
p38_p38a_2g,p38,0.00857627,0.75719741
p38_p38a_2gg,p38,0.00857627,-0.86012918
p38_p38a_2h,p38,1.19931917,0.39610762
p38_p38a_2i,p38,0.62112898,0.81158316
p38_p38a_2j,p38,0.59210219,-0.01700577
p38_p38a_2k,p38,0.11704505,0.92939926
p38_p38a_2l,p38,-1.60252730,0.37645420
p38_p38a_2m,p38,-0.29532984,-0.56100807
p38_p38a_2n,p38,-1.19015241,-0.42417028
p38_p38a_2o,p38,0.17972731,-0.88429670
p38_p38a_2p,p38,-0.53655368,-0.84247933
p38_p38a_2q,p38,-1.60252730,-2.11147835
p38_p38a_2r,p38,-0.12417879,-0.54710677
p38_p38a_2s,p38,-0.44484463,-0.44644480
p38_p38a_2t,p38,-1.19015241,-0.53960022
p38_p38a_2u,p38,-1.60252730,-2.24465887
p38_p38a_2v,p38,1.70569571,2.21114014
p38_p38a_2x,p38,0.44045884,0.49605784
p38_p38a_2y,p38,0.89897554,0.56268975
p38_p38a_2z,p38,0.31248237,0.48515588
p38_p38a_3fln,p38,-0.23264758,0.28778708
p38_p38a_3flq,p38,0.72485726,-0.60288436
p38_p38a_3flw,p38,-0.03246975,0.31304495
p38_p38a_3fly,p38,-0.77777752,0.99508558
p38_p38a_3flz,p38,1.17189813,1.94241511
p38_p38a_3fmh,p38,-0.17594458,-0.65528474
p38_p38a_3fmk,p38,-1.19015241,-1.40578190
