sample_id,target,observed_z,predicted_z
tyk2_ejm_31,tyk2,0.16078403,1.87806407
tyk2_ejm_42,tyk2,-0.02978803,1.24724469
tyk2_ejm_43,tyk2,1.18025780,0.02762866
tyk2_ejm_44,tyk2,1.85101469,-0.58503600
tyk2_ejm_45,tyk2,0.15088875,-0.57759683
tyk2_ejm_46,tyk2,-1.24723573,0.20185778
tyk2_ejm_47,tyk2,0.03844875,-0.31185071
tyk2_ejm_48,tyk2,0.59144851,-0.75961874
tyk2_ejm_49,tyk2,1.58799048,-1.03184119
tyk2_ejm_50,tyk2,0.61063519,1.62043295
tyk2_ejm_54,tyk2,-0.62599919,0.40440659
tyk2_ejm_55,tyk2,0.42937053,1.46870800
tyk2_jmc_23,tyk2,-1.55383414,-0.60766164
tyk2_jmc_27,tyk2,-1.21874164,-0.75461646
tyk2_jmc_28,tyk2,-0.97864923,-0.87418488
tyk2_jmc_30,tyk2,-0.94659077,-1.34593629
