sample_id,target,observed_z,predicted_z
cdk2_17,cdk2,1.75668418,0.74608263
cdk2_1h1q,cdk2,0.77849320,0.58909296
cdk2_1h1r,cdk2,1.21217247,0.93119919
cdk2_1h1s,cdk2,-1.82895064,-1.23729006
cdk2_1oi9,cdk2,-0.54920954,0.53825980
cdk2_1oiu,cdk2,0.00986293,0.96554326
cdk2_1oiy,cdk2,-0.58699508,-0.35315709
cdk2_20,cdk2,0.33353043,0.77119659
cdk2_21,cdk2,1.08904480,0.97704601
cdk2_22,cdk2,1.06033351,0.32636827
cdk2_26,cdk2,0.57740627,1.08142941
cdk2_28,cdk2,-1.69859536,-1.26841787
cdk2_29,cdk2,-0.65406935,-1.91189391
cdk2_30,cdk2,-0.59490565,-0.39196278
cdk2_31,cdk2,-0.36282024,-0.00043994
cdk2_32,cdk2,-0.54198193,-1.76305647
