sample_id,target,observed_z,predicted_z
jnk1_17124-1,jnk1,-0.68356702,-1.33956055
jnk1_18624-1,jnk1,0.72436117,1.25633279
jnk1_18625-1,jnk1,1.18674435,0.76569223
jnk1_18626-1,jnk1,0.27293235,0.85554862
jnk1_18627-1,jnk1,0.73659313,0.27542233
jnk1_18628-1,jnk1,0.47526497,1.10176930
jnk1_18629-1,jnk1,0.50958008,0.85913272
jnk1_18630-1,jnk1,-0.04831508,0.47449943
jnk1_18631-1,jnk1,-0.37151346,1.35016571
jnk1_18632-1,jnk1,0.02207565,0.98766049
jnk1_18633-1,jnk1,-0.08634165,0.11155611
jnk1_18634-1,jnk1,-1.06135051,-0.06546239
jnk1_18635-1,jnk1,2.16175322,0.37924262
jnk1_18636-1,jnk1,1.89238702,0.33811462
jnk1_18637-1,jnk1,-1.23810503,-2.03551419
jnk1_18638-1,jnk1,-1.18026532,-1.00533665
jnk1_18639-1,jnk1,-0.76072049,-1.13211993
jnk1_18652-1,jnk1,-1.88255084,-1.92876864
jnk1_18658-1,jnk1,-0.71151720,-0.86649721
jnk1_18659-1,jnk1,-0.43271032,-0.23000263
jnk1_18660-1,jnk1,0.47526497,-0.15187477
