sample_id,target,observed_z,predicted_z
p38_p38a_2aa,p38,1.40936846,0.29874888
p38_p38a_2bb,p38,1.61436791,1.69605880
p38_p38a_2c,p38,0.20875410,1.05030367
p38_p38a_2e,p38,-0.03246975,1.04106773
p38_p38a_2ee,p38,-1.60252730,-0.49905907
p38_p38a_2f,p38,2.19722650,1.63106026
p38_p38a_2ff,p38,-0.77777752,-0.59243714
p38_p38a_2g,p38,0.00857627,0.35825366
p38_p38a_2gg,p38,0.00857627,-0.19991571
p38_p38a_2h,p38,1.19931917,0.59678825
p38_p38a_2i,p38,0.62112898,1.12540781
p38_p38a_2j,p38,0.59210219,0.43124716
p38_p38a_2k,p38,0.11704505,0.20533280
p38_p38a_2l,p38,-1.60252730,-1.47176273
p38_p38a_2m,p38,-0.29532984,-1.21564260
p38_p38a_2n,p38,-1.19015241,-1.27521738
p38_p38a_2o,p38,0.17972731,-0.02066802
p38_p38a_2p,p38,-0.53655368,-0.25828776
p38_p38a_2q,p38,-1.60252730,-1.88816496
p38_p38a_2r,p38,-0.12417879,-0.30666662
p38_p38a_2s,p38,-0.44484463,-0.90516287
p38_p38a_2t,p38,-1.19015241,-1.19286092
p38_p38a_2u,p38,-1.60252730,-1.84626982
p38_p38a_2v,p38,1.70569571,1.58714395
p38_p38a_2x,p38,0.44045884,0.53147309
p38_p38a_2y,p38,0.89897554,0.68109379
p38_p38a_2z,p38,0.31248237,-0.16507240
p38_p38a_3fln,p38,-0.23264758,-0.22321011
p38_p38a_3flq,p38,0.72485726,0.34595955
p38_p38a_3flw,p38,-0.03246975,-0.53425377
p38_p38a_3fly,p38,-0.77777752,-0.53448046
p38_p38a_3flz,p38,1.17189813,2.12223733
p38_p38a_3fmh,p38,-0.17594458,0.04435556
p38_p38a_3fmk,p38,-1.19015241,-0.61739992
