sample_id,target,observed_z,predicted_z
cdk2_17,cdk2,1.75668418,0.74608263
cdk2_1h1q,cdk2,0.77849320,0.58909296
cdk2_1h1r,cdk2,1.21217247,0.93119919
cdk2_1h1s,cdk2,-1.82895064,-1.23729006
cdk2_1oi9,cdk2,-0.54920954,0.53825980
cdk2_1oiu,cdk2,0.00986293,0.96554326
cdk2_1oiy,cdk2,-0.58699508,-0.35315709
cdk2_20,cdk2,0.33353043,0.77119659
cdk2_21,cdk2,1.08904480,0.97704601
cdk2_22,cdk2,1.06033351,0.32636827
cdk2_26,cdk2,0.57740627,1.08142941
cdk2_28,cdk2,-1.69859536,-1.26841787
cdk2_29,cdk2,-0.65406935,-1.91189391
cdk2_30,cdk2,-0.59490565,-0.39196278
cdk2_31,cdk2,-0.36282024,-0.00043994
cdk2_32,cdk2,-0.54198193,-1.76305647
tyk2_ejm_31,tyk2,0.16078403,0.34432386
tyk2_ejm_42,tyk2,-0.02978803,-0.00162017
tyk2_ejm_43,tyk2,1.18025780,1.37263686
tyk2_ejm_44,tyk2,1.85101469,2.31222064
tyk2_ejm_45,tyk2,0.15088875,-0.26038799
tyk2_ejm_46,tyk2,-1.24723573,-1.30257032
tyk2_ejm_47,tyk2,0.03844875,-0.19725227
tyk2_ejm_48,tyk2,0.59144851,0.11158891
tyk2_ejm_49,tyk2,1.58799048,1.60532315
tyk2_ejm_50,tyk2,0.61063519,0.06297321
tyk2_ejm_54,tyk2,-0.62599919,-0.27621700
tyk2_ejm_55,tyk2,0.42937053,-0.20319294
tyk2_jmc_23,tyk2,-1.55383414,-0.90484927
tyk2_jmc_27,tyk2,-1.21874164,-1.62430269
tyk2_jmc_28,tyk2,-0.97864923,-0.78386096
tyk2_jmc_30,tyk2,-0.94659077,-0.25481302
jnk1_17124-1,jnk1,-0.68356702,-1.33956055
jnk1_18624-1,jnk1,0.72436117,1.25633279
jnk1_18625-1,jnk1,1.18674435,0.76569223
jnk1_18626-1,jnk1,0.27293235,0.85554862
jnk1_18627-1,jnk1,0.73659313,0.27542233
jnk1_18628-1,jnk1,0.47526497,1.10176930
jnk1_18629-1,jnk1,0.50958008,0.85913272
jnk1_18630-1,jnk1,-0.04831508,0.47449943
jnk1_18631-1,jnk1,-0.37151346,1.35016571
jnk1_18632-1,jnk1,0.02207565,0.98766049
jnk1_18633-1,jnk1,-0.08634165,0.11155611
jnk1_18634-1,jnk1,-1.06135051,-0.06546239
jnk1_18635-1,jnk1,2.16175322,0.37924262
jnk1_18636-1,jnk1,1.89238702,0.33811462
jnk1_18637-1,jnk1,-1.23810503,-2.03551419
jnk1_18638-1,jnk1,-1.18026532,-1.00533665
jnk1_18639-1,jnk1,-0.76072049,-1.13211993
jnk1_18652-1,jnk1,-1.88255084,-1.92876864
jnk1_18658-1,jnk1,-0.71151720,-0.86649721
jnk1_18659-1,jnk1,-0.43271032,-0.23000263
jnk1_18660-1,jnk1,0.47526497,-0.15187477
p38_p38a_2aa,p38,1.40936846,0.29874888
p38_p38a_2bb,p38,1.61436791,1.69605880
p38_p38a_2c,p38,0.20875410,1.05030367
p38_p38a_2e,p38,-0.03246975,1.04106773
p38_p38a_2ee,p38,-1.60252730,-0.49905907
p38_p38a_2f,p38,2.19722650,1.63106026
p38_p38a_2ff,p38,-0.77777752,-0.59243714
p38_p38a_2g,p38,0.00857627,0.35825366
p38_p38a_2gg,p38,0.00857627,-0.19991571
p38_p38a_2h,p38,1.19931917,0.59678825
p38_p38a_2i,p38,0.62112898,1.12540781
p38_p38a_2j,p38,0.59210219,0.43124716
p38_p38a_2k,p38,0.11704505,0.20533280
p38_p38a_2l,p38,-1.60252730,-1.47176273
p38_p38a_2m,p38,-0.29532984,-1.21564260
p38_p38a_2n,p38,-1.19015241,-1.27521738
p38_p38a_2o,p38,0.17972731,-0.02066802
p38_p38a_2p,p38,-0.53655368,-0.25828776
p38_p38a_2q,p38,-1.60252730,-1.88816496
p38_p38a_2r,p38,-0.12417879,-0.30666662
p38_p38a_2s,p38,-0.44484463,-0.90516287
p38_p38a_2t,p38,-1.19015241,-1.19286092
p38_p38a_2u,p38,-1.60252730,-1.84626982
p38_p38a_2v,p38,1.70569571,1.58714395
p38_p38a_2x,p38,0.44045884,0.53147309
p38_p38a_2y,p38,0.89897554,0.68109379
p38_p38a_2z,p38,0.31248237,-0.16507240
p38_p38a_3fln,p38,-0.23264758,-0.22321011
p38_p38a_3flq,p38,0.72485726,0.34595955
p38_p38a_3flw,p38,-0.03246975,-0.53425377
p38_p38a_3fly,p38,-0.77777752,-0.53448046
p38_p38a_3flz,p38,1.17189813,2.12223733
p38_p38a_3fmh,p38,-0.17594458,0.04435556
p38_p38a_3fmk,p38,-1.19015241,-0.61739992
