sample_id,target,observed_z,predicted_z
tyk2_ejm_31,tyk2,0.16078403,0.34432386
tyk2_ejm_42,tyk2,-0.02978803,-0.00162017
tyk2_ejm_43,tyk2,1.18025780,1.37263686
tyk2_ejm_44,tyk2,1.85101469,2.31222064
tyk2_ejm_45,tyk2,0.15088875,-0.26038799
tyk2_ejm_46,tyk2,-1.24723573,-1.30257032
tyk2_ejm_47,tyk2,0.03844875,-0.19725227
tyk2_ejm_48,tyk2,0.59144851,0.11158891
tyk2_ejm_49,tyk2,1.58799048,1.60532315
tyk2_ejm_50,tyk2,0.61063519,0.06297321
tyk2_ejm_54,tyk2,-0.62599919,-0.27621700
tyk2_ejm_55,tyk2,0.42937053,-0.20319294
tyk2_jmc_23,tyk2,-1.55383414,-0.90484927
tyk2_jmc_27,tyk2,-1.21874164,-1.62430269
tyk2_jmc_28,tyk2,-0.97864923,-0.78386096
tyk2_jmc_30,tyk2,-0.94659077,-0.25481302
