sample_id,batch_seed,sample,designed_chain_score,dendrogram_order,cluster_at_50pct_identity_cut,cluster_at_60pct_identity_cut,cluster_at_70pct_identity_cut,cluster_at_80pct_identity_cut,cluster_at_90pct_identity_cut
s6000_01,6000,1,0.816,22,1,1,5,22,22
s6000_02,6000,2,0.8099,60,1,1,8,47,64
s6000_03,6000,3,0.91,95,1,1,11,66,94
s6000_04,6000,4,0.799,63,1,1,8,43,60
s6000_05,6000,5,0.815,20,1,1,4,19,19
s6000_06,6000,6,0.8669,65,1,1,8,46,63
s6000_07,6000,7,0.7807,58,1,1,8,42,57
s6000_08,6000,8,0.7791,50,1,1,8,39,51
s6000_09,6000,9,0.7852,79,1,1,8,54,77
s6000_10,6000,10,0.8172,96,1,1,12,67,95
s6001_01,6001,1,0.8618,1,1,1,3,14,14
s6001_02,6001,2,0.8373,37,1,1,8,31,36
s6001_03,6001,3,0.8688,85,1,1,9,59,83
s6001_04,6001,4,0.8168,72,1,1,8,50,70
s6001_05,6001,5,0.761,88,1,1,10,62,87
s6001_06,6001,6,0.7903,32,1,1,8,29,30
s6001_07,6001,7,0.8344,11,1,1,2,9,9
s6001_08,6001,8,0.77,30,1,1,8,30,32
s6001_09,6001,9,0.7925,9,1,1,1,8,8
s6001_10,6001,10,0.7512,42,1,1,8,35,41
s6002_01,6002,1,0.773,28,1,1,8,28,28
s6002_02,6002,2,0.7625,61,1,1,8,45,62
s6002_03,6002,3,0.7926,81,1,1,8,56,80
s6002_04,6002,4,0.7506,46,1,1,8,37,46
s6002_05,6002,5,0.8219,33,1,1,8,29,31
s6002_06,6002,6,0.8925,99,1,2,14,70,98
s6002_07,6002,7,0.9408,94,1,1,10,65,93
s6002_08,6002,8,0.7631,86,1,1,9,59,84
s6002_09,6002,9,0.8219,2,1,1,1,3,3
s6002_10,6002,10,0.7815,84,1,1,9,60,85
s6003_01,6003,1,0.8101,92,1,1,10,64,91
s6003_02,6003,2,0.787,91,1,1,10,63,89
s6003_03,6003,3,0.7809,45,1,1,8,36,44
s6003_04,6003,4,0.8481,82,1,1,8,57,81
s6003_05,6003,5,0.8265,93,1,1,10,64,92
s6003_06,6003,6,0.821,62,1,1,8,43,59
s6003_07,6003,7,0.8422,7,1,1,1,5,5
s6003_08,6003,8,0.791,56,1,1,8,41,55
s6003_09,6003,9,0.8796,16,1,1,4,17,17
s6003_10,6003,10,0.7637,51,1,1,8,39,50
s6004_01,6004,1,0.811,3,1,1,1,1,1
s6004_02,6004,2,0.729,44,1,1,8,36,43
s6004_03,6004,3,0.8314,73,1,1,8,50,71
s6004_04,6004,4,0.7306,75,1,1,8,52,74
s6004_05,6004,5,0.824,19,1,1,4,18,18
s6004_06,6004,6,0.7942,69,1,1,8,48,66
s6004_07,6004,7,0.8754,23,1,1,6,23,23
s6004_08,6004,8,0.7945,27,1,1,8,27,27
s6004_09,6004,9,0.7607,59,1,1,8,42,58
s6004_10,6004,10,0.8151,10,1,1,2,11,11
s6005_01,6005,1,0.8683,87,1,1,10,61,86
s6005_02,6005,2,0.8227,25,1,1,7,25,25
s6005_03,6005,3,0.7254,31,1,1,8,29,29
s6005_04,6005,4,0.7989,48,1,1,8,38,48
s6005_05,6005,5,0.7469,41,1,1,8,35,40
s6005_06,6005,6,0.7704,36,1,1,8,31,34
s6005_07,6005,7,0.7649,34,1,1,8,31,35
s6005_08,6005,8,0.7885,53,1,1,8,39,49
s6005_09,6005,9,0.781,40,1,1,8,35,42
s6005_10,6005,10,0.8213,18,1,1,4,16,16
s6006_01,6006,1,0.8109,13,1,1,2,12,12
