sample_id,target_id,pdb_id,flashbind_rmsd_A,boltz2_rmsd_A,flashbind_minus_boltz2_A,lower_rmsd
cdk2_1h1q,cdk2,1H1Q,0.5662073642742949,0.7216793,-0.15547193572570517,flashbind
cdk2_1h1r,cdk2,1H1R,1.5948248257361157,1.50224721,0.09257761573611578,boltz2
cdk2_1h1s,cdk2,1H1S,0.4848605069258878,0.31323351,0.1716269969258878,boltz2
cdk2_1oi9,cdk2,1OI9,0.1850444167667817,0.85364843,-0.6686040132332183,flashbind
cdk2_1oiu,cdk2,1OIU,0.39843627556089245,2.15210574,-1.7536694644391075,flashbind
cdk2_1oiy,cdk2,1OIY,0.3033746137053929,0.29727808,0.006096533705392926,boltz2
tyk2_ejm_46,tyk2,4GIH,0.22313874219574817,0.18051736,0.04262138219574818,boltz2
tyk2_jmc_23,tyk2,4GJ2,0.0767020734268141,0.2957095,-0.21900742657318592,flashbind
jnk1_17124-1,jnk1,2GMX,0.608858596306388,0.50185189,0.10700670630638798,boltz2
p38_p38a_3fln,p38,3FLN,0.6598171272442741,1.137295,-0.47747787275572584,flashbind
p38_p38a_3flq,p38,3FLQ,1.1704824420225604,1.10814864,0.062333802022560336,boltz2
p38_p38a_3flw,p38,3FLW,0.7039008203588694,1.11113024,-0.4072294196411307,flashbind
p38_p38a_3fly,p38,3FLY,0.7683550256432835,1.17520104,-0.4068460143567164,flashbind
p38_p38a_3flz,p38,3FLZ,0.7263333364062168,0.54725705,0.17907628640621676,boltz2
p38_p38a_3fmh,p38,3FMH,1.061551632922436,2.79029132,-1.7287396870775642,flashbind
p38_p38a_3fmk,p38,3FMK,0.8795339351536248,0.94149708,-0.06196314484637522,flashbind
